"Series Description","Total Assets; Interest-earning; All loans and leases, gross; Banks ranked 1st to 100th largest in size (by assets) (Quarterly average)","Loans to finance agricultural production (quarterly average); Banks ranked 1st to 100th largest in size (by assets)","Commercial and industrial loans (quarterly average); Banks ranked 1st to 100th largest in size (by assets)","Loans secured by real estate (quarterly average); Banks ranked 1st to 100th largest in size (by assets)","Consumer loans (quarterly average); Banks ranked 1st to 100th largest in size (by assets)","Total Assets; Interest-earning; All loans and leases, gross; Secured by real estate; Single-family (1-4 family) residential mortgages; Booked in domestic offices; Banks ranked 1st to 100th largest in size (by assets) (Quarterly average)","Total Assets; Interest-earning; All loans and leases, gross; Lease financing receivables; Banks ranked 1st to 100th largest in size (by assets) (Quarterly average)","Total Assets; Interest-earning; All loans and leases, gross; Consumer loans; Credit cards; (Quarterly average); Banks ranked 1st to 100th largest in size (by assets)","Other consumer loans (quarterly average); Banks ranked 1st to 100th largest in size (by assets)","Total assets; Interest-earning; All loans and leases, gross; Secured by real estate; Commercial real estate loans (excluding farmland); Booked in domestic offices; (Quarterly average); Banks ranked 1st to 100th largest in size (by assets)","Total Assets; Interest-earning; All loans and leases, gross; Secured by real estate; Farmland; Booked in domestic offices; Banks ranked 1st to 100th largest in size (by assets) (Quarterly average)"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","CHGDEL/CHGDEL/STFBAIL_XQA_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILF_XQA_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILB_XQA_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILS_XQA_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILC_XQA_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILSS_XQA_XDO_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILR_XQA_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILCC_XQA_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILCO_XQA_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILSX_XQA_XDO_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILSF_XQA_XDO_XS1A2_MA_N.Q"
"Time Period","STFBAIL_XQA_XS1A2_MA_N.Q","STFBAILF_XQA_XS1A2_MA_N.Q","STFBAILB_XQA_XS1A2_MA_N.Q","STFBAILS_XQA_XS1A2_MA_N.Q","STFBAILC_XQA_XS1A2_MA_N.Q","STFBAILSS_XQA_XDO_XS1A2_MA_N.Q","STFBAILR_XQA_XS1A2_MA_N.Q","STFBAILCC_XQA_XS1A2_MA_N.Q","STFBAILCO_XQA_XS1A2_MA_N.Q","STFBAILSX_XQA_XDO_XS1A2_MA_N.Q","STFBAILSF_XQA_XDO_XS1A2_MA_N.Q"
1985Q1,800102,6712,376656,156519,107328,64667,,40741,66584,79499,982
1985Q2,810246,6876,368610,160917,113483,65372,,43254,70224,82824,995
1985Q3,817531,6406,367641,164929,115120,65972,,42215,72931,85656,1016
1985Q4,833433,6034,366589,170664,120666,66965,,44721,75921,89546,1058
1986Q1,844855,5545,369054,178399,126578,68708,,48872,77704,94260,1077
1986Q2,857514,5534,368845,188333,132179,72634,,50520,81658,98963,1239
1986Q3,863185,5439,361469,198445,135202,74656,,50440,84832,106082,1194
1986Q4,879784,5230,376463,204193,136753,75380,,51494,85242,110684,1079
1987Q1,923169,4784,376121,226389,140603,81697,20293,51910,88779,125321,1165
1987Q2,934089,5020,376699,234836,140950,85448,20740,51535,89485,129989,1244
1987Q3,927195,5044,363973,239720,140347,88792,20999,50775,89693,130882,1246
1987Q4,950042,4875,374455,249646,143720,92916,22151,53081,90673,136728,1253
1988Q1,952442,4581,378561,255803,144426,94757,23002,52532,92001,139913,1293
1988Q2,969648,4896,381030,268485,144553,101081,23434,50891,93789,144012,1364
1988Q3,989327,4822,376399,281937,154834,107264,26562,59110,95828,150913,1471
1988Q4,996265,4983,378666,284143,158595,110855,24972,62719,95910,149496,1514
1989Q1,1008037,4650,376140,295485,162258,114986,25604,66932,95408,155461,1699
1989Q2,1021405,4825,378477,306064,161801,121567,25172,65964,95857,158933,1734
1989Q3,1045193,4778,384440,322293,166502,130717,25979,68131,98384,165933,1843
1989Q4,1067808,4849,385870,334240,173793,139839,27048,72756,101101,169194,1884
1990Q1,1087925,4702,395817,347404,175762,146279,27334,73547,102298,175432,1834
1990Q2,1092985,5118,395027,357080,172642,152909,27757,71445,101157,177414,1813
1990Q3,1100650,5263,393620,364780,173787,161741,28447,70564,103239,174527,1852
1990Q4,1117341,5351,397360,376513,174669,170369,28740,69406,105274,177089,1775
1991Q1,1110115,5146,391127,385973,170582,178967,28298,67894,102761,178106,1822
1991Q2,1093128,5295,376601,387847,171997,185740,27327,72646,99235,174182,1804
1991Q3,1080856,5361,371631,384719,169450,186589,26254,68857,100527,171195,1808
1991Q4,1075070,5451,361765,385022,172737,190368,26270,69676,103125,166777,1912
1992Q1,1067577,4990,354384,379034,178009,189864,27071,77058,100981,162179,1968
1992Q2,1069911,5381,352699,384392,176503,194878,26374,74559,101907,163420,2002
1992Q3,1070636,5334,349960,382232,175435,199916,26400,69868,105488,156811,2082
1992Q4,1079141,5421,353835,387823,179027,207683,26056,72637,106287,155738,2074
