"Series Description","Asset quality measures; Net charge-offs on all loans and leases; Banks ranked 1st to 100th largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; To finance agricultural production; Banks ranked 1st to 100th largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; Commercial and industrial; Banks ranked 1st to 100th largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; Secured by real estate; Banks ranked 1st to 100th largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; To consumers; Banks ranked 1st to 100th largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; Secured by real estate; Single family residential mortgages; Booked in domestic offices; Banks ranked 1st to 100th largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; Lease financing receivables; Banks ranked 1st to 100th largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; To consumers; Credit cards; Banks ranked 1st to 100th largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; To consumers; Other; Banks ranked 1st to 100th largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; Secured by real estate; Commercial real estate loans (excluding farmland); Booked in domestic offices; Banks ranked 1st to 100th largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; Secured by real estate; Farmland; Booked in domestic offices; Banks ranked 1st to 100th largest in size (by assets)"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","CHGDEL/CHGDEL/STFBQC_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQCF_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQCB_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQCS_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQCC_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQCSS_XDO_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQCR_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQCCC_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQCCO_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQCSX_XDO_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQCSF_XDO_XS1A2_MA_N.Q"
"Time Period","STFBQC_XS1A2_MA_N.Q","STFBQCF_XS1A2_MA_N.Q","STFBQCB_XS1A2_MA_N.Q","STFBQCS_XS1A2_MA_N.Q","STFBQCC_XS1A2_MA_N.Q","STFBQCSS_XDO_XS1A2_MA_N.Q","STFBQCR_XS1A2_MA_N.Q","STFBQCCC_XS1A2_MA_N.Q","STFBQCCO_XS1A2_MA_N.Q","STFBQCSX_XDO_XS1A2_MA_N.Q","STFBQCSF_XDO_XS1A2_MA_N.Q"
1985Q1,1187,31,687,82,292,,11,209,83,,
1985Q2,1461,54,777,90,358,,25,249,110,,
1985Q3,1672,52,1010,86,416,,33,294,122,,
1985Q4,2130,91,1198,115,529,,41,343,186,,
1986Q1,1647,31,790,99,602,,24,430,172,,
1986Q2,2063,80,1042,171,590,,24,412,178,,
1986Q3,2096,41,997,224,610,,28,454,156,,
1986Q4,2272,21,1231,256,643,,39,449,194,,
1987Q1,1770,74,686,228,641,,52,472,169,,
1987Q2,1849,23,852,224,612,,35,445,167,,
1987Q3,1839,-28,713,266,565,,30,407,158,,
1987Q4,3093,38,1002,421,690,,43,466,224,,
1988Q1,2486,1,756,251,622,,23,446,176,,
1988Q2,3044,4,1076,473,610,,27,432,179,,
1988Q3,2855,-5,706,341,668,,21,482,185,,
1988Q4,3232,-6,860,331,749,,27,531,218,,
1989Q1,2153,-0,546,279,809,,32,538,271,,
1989Q2,3337,8,681,375,736,,23,539,197,,
1989Q3,2944,-6,609,499,746,,22,535,211,,
1989Q4,6762,2,1856,687,879,,41,585,294,,
1990Q1,4897,-11,1057,680,891,,59,570,321,,
1990Q2,6297,-4,1368,801,905,,33,585,320,,
1990Q3,3573,-4,985,906,943,,48,678,266,,
1990Q4,5158,4,1409,1429,1081,,42,654,427,,
1991Q1,3906,7,914,993,1150,57,63,748,402,817,2
1991Q2,6158,11,1743,1248,1222,67,43,915,307,1074,3
1991Q3,5868,12,1879,1502,1203,78,50,915,288,1318,13
1991Q4,5705,2,2087,1889,1258,82,47,890,368,1633,1
1992Q1,4257,3,1392,1354,1336,80,50,998,338,1107,2
1992Q2,3970,-1,1082,1419,1276,109,40,1005,271,1088,1
1992Q3,4412,10,1065,1954,1140,194,33,873,267,1722,2
1992Q4,4410,5,1090,1846,1143,182,57,822,321,1508,3
1993Q1,2952,3,612,1045,1052,103,32,819,232,863,-0
1993Q2,3034,2,752,1163,999,182,24,794,206,915,3
1993Q3,2568,-0,598,919,985,140,20,780,205,725,6
1993Q4,3034,5,551,893,986,156,28,756,230,673,5
1994Q1,1723,4,215,580,954,118,-1,770,184,433,2
1994Q2,2097,2,202,618,912,160,3,725,186,447,1
1994Q3,1375,3,128,403,900,108,11,704,196,283,1
1994Q4,1864,17,197,563,1143,158,12,893,250,399,2
1995Q1,1409,-4,150,214,1080,95,-0,859,221,114,0
1995Q2,1416,2,32,303,1202,119,20,963,239,183,2
1995Q3,1943,-3,355,231,1353,112,3,1059,293,115,0
1995Q4,2145,3,305,259,1574,137,17,1194,380,132,1
1996Q1,2244,0,284,198,1717,106,17,1344,372,81,-0
1996Q2,2283,2,270,178,1829,102,21,1448,381,63,1
