"Series Description","Asset quality measures; Net charge-offs on all loans and leases; All commercial banks","Asset quality measures; Net charge-offs on all loans and leases; To finance agricultural production; All commercial banks","Asset quality measures; Net charge-offs on all loans and leases; Commercial and industrial; All commercial banks","Asset quality measures; Net charge-offs on all loans and leases; Secured by real estate; All commercial banks","Asset quality measures; Net charge-offs on all loans and leases; To consumers; All commercial banks","Asset quality measures; Net charge-offs on all loans and leases; Secured by real estate; Single family residential mortgages; Booked in domestic offices; All commercial banks","Asset quality measures; Net charge-offs on all loans and leases; Lease financing receivables; All commercial banks","Asset quality measures; Net charge-offs on all loans and leases; To consumers; Credit cards; All commercial banks","Asset quality measures; Net charge-offs on all loans and leases; To consumers; Other; All commercial banks","Asset quality measures; Net charge-offs on all loans and leases; Secured by real estate; Commercial real estate loans (excluding farmland); Booked in domestic offices; All commercial banks","Asset quality measures; Net charge-offs on all loans and leases; Secured by real estate; Farmland; Booked in domestic offices; All commercial banks"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","CHGDEL/CHGDEL/STFBQC_MA_N.Q","CHGDEL/CHGDEL/STFBQCF_MA_N.Q","CHGDEL/CHGDEL/STFBQCB_MA_N.Q","CHGDEL/CHGDEL/STFBQCS_MA_N.Q","CHGDEL/CHGDEL/STFBQCC_MA_N.Q","CHGDEL/CHGDEL/STFBQCSS_XDO_MA_N.Q","CHGDEL/CHGDEL/STFBQCR_MA_N.Q","CHGDEL/CHGDEL/STFBQCCC_MA_N.Q","CHGDEL/CHGDEL/STFBQCCO_MA_N.Q","CHGDEL/CHGDEL/STFBQCSX_XDO_MA_N.Q","CHGDEL/CHGDEL/STFBQCSF_XDO_MA_N.Q"
"Time Period","STFBQC_MA_N.Q","STFBQCF_MA_N.Q","STFBQCB_MA_N.Q","STFBQCS_MA_N.Q","STFBQCC_MA_N.Q","STFBQCSS_XDO_MA_N.Q","STFBQCR_MA_N.Q","STFBQCCC_MA_N.Q","STFBQCCO_MA_N.Q","STFBQCSX_XDO_MA_N.Q","STFBQCSF_XDO_MA_N.Q"
1985Q1,2337,201,1292,164,535,,19,309,226,,
1985Q2,3118,321,1669,229,663,,35,378,285,,
1985Q3,3457,266,1982,252,797,,45,461,337,,
1985Q4,5427,598,2919,504,1086,,57,551,536,,
1986Q1,3189,244,1489,249,997,,29,630,366,,
1986Q2,4227,368,2079,420,1078,,40,648,430,,
1986Q3,4394,255,2181,507,1127,,45,702,425,,
1986Q4,5893,422,3049,791,1356,,58,752,605,,
1987Q1,3373,178,1330,467,1169,,66,782,387,,
1987Q2,3814,139,1745,533,1180,,48,751,430,,
1987Q3,3809,71,1540,623,1137,,46,716,421,,
1987Q4,6060,162,2369,934,1431,,68,805,626,,
1988Q1,4071,30,1253,529,1230,,33,816,414,,
1988Q2,5330,45,2017,959,1262,,40,830,432,,
1988Q3,4752,29,1472,699,1300,,31,830,470,,
1988Q4,5798,48,1978,853,1496,,42,887,610,,
1989Q1,3647,10,1004,615,1421,,43,887,534,,
1989Q2,5171,32,1334,767,1411,,37,913,497,,
1989Q3,4873,14,1338,962,1384,,35,885,499,,
1989Q4,9688,45,2999,1363,1764,,64,1027,737,,
1990Q1,6686,-4,1624,1061,1596,,71,979,617,,
1990Q2,8536,19,2174,1410,1650,,48,1028,622,,
1990Q3,6040,16,1905,1589,1708,,60,1098,610,,
1990Q4,8746,31,2770,2459,2137,,66,1255,882,,
1991Q1,6301,13,1681,1526,2146,156,85,1378,768,1224,5
1991Q2,8908,26,2673,1964,2214,182,61,1541,673,1654,11
1991Q3,8559,38,2747,2162,2206,212,68,1561,644,1816,18
1991Q4,9583,63,3531,2945,2379,263,76,1565,815,2492,12
1992Q1,6355,15,1989,1817,2257,168,65,1633,624,1490,7
1992Q2,6139,25,1735,1999,2119,219,54,1593,526,1545,11
1992Q3,6675,33,1837,2574,1912,296,46,1401,510,2226,16
1992Q4,7193,29,1912,2739,2136,345,72,1521,615,2235,11
1993Q1,4320,8,919,1385,1741,186,40,1348,393,1117,2
1993Q2,4602,18,1085,1632,1714,284,28,1351,363,1274,4
1993Q3,3904,5,844,1333,1638,230,30,1255,384,1047,7
1993Q4,4830,29,1035,1403,1711,271,34,1251,459,1060,11
1994Q1,2600,10,306,744,1545,168,4,1242,303,546,1
1994Q2,3164,12,420,846,1504,224,7,1187,317,605,1
1994Q3,2389,15,261,623,1538,162,14,1204,335,442,3
1994Q4,3187,36,480,880,1821,256,16,1355,465,613,6
1995Q1,2274,-1,201,343,1738,140,3,1356,382,198,-0
1995Q2,2763,15,191,648,2005,180,26,1582,423,468,3
1995Q3,3235,15,498,409,2283,173,9,1776,507,225,7
1995Q4,3998,37,625,507,2789,213,26,2089,700,299,5
1996Q1,3613,18,406,270,2841,148,24,2219,622,111,-0
1996Q2,3790,29,474,296,2964,151,35,2336,629,132,2
1996Q3,3802,28,373,261,3125,134,56,2400,725,113,2
1996Q4,4455,38,497,280,3544,168,49,2666,878,100,5
1997Q1,4012,7,305,119,3540,127,48,2744,797,-18,-1
1997Q2,4378,20,421,179,3684,167,53,2921,763,5,-0
1997Q3,4681,16,626,183,3766,143,47,2958,808,9,3
1997Q4,4975,36,729,249,3878,181,93,2944,934,43,15
1998Q1,4512,4,572,142,3578,133,70,2747,831,-1,-1
1998Q2,4549,18,712,108,3456,133,73,2706,750,-32,3
