"Series Description","Asset quality measures; Net charge-offs on all loans and leases; Banks not among the 100 largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; To finance agricultural production; Banks not among the 100 largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; Commercial and industrial; Banks not among the 100 largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; Secured by real estate; Banks not among the 100 largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; To consumers; Banks not among the 100 largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; Secured by real estate; Single family residential mortgages; Booked in domestic offices; Banks not among the 100 largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; Lease financing receivables; Banks not among the 100 largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; To consumers; Credit cards; Banks not among the 100 largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; To consumers; Other; Banks not among the 100 largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; Secured by real estate; Commercial real estate loans (excluding farmland); Booked in domestic offices; Banks not among the 100 largest in size (by assets)","Asset quality measures; Net charge-offs on all loans and leases; Secured by real estate; Farmland; Booked in domestic offices; Banks not among the 100 largest in size (by assets)"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","CHGDEL/CHGDEL/STFBQC_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQCF_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQCB_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQCS_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQCC_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQCSS_XDO_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQCR_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQCCC_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQCCO_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQCSX_XDO_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQCSF_XDO_XS3A4_MA_N.Q"
"Time Period","STFBQC_XS3A4_MA_N.Q","STFBQCF_XS3A4_MA_N.Q","STFBQCB_XS3A4_MA_N.Q","STFBQCS_XS3A4_MA_N.Q","STFBQCC_XS3A4_MA_N.Q","STFBQCSS_XDO_XS3A4_MA_N.Q","STFBQCR_XS3A4_MA_N.Q","STFBQCCC_XS3A4_MA_N.Q","STFBQCCO_XS3A4_MA_N.Q","STFBQCSX_XDO_XS3A4_MA_N.Q","STFBQCSF_XDO_XS3A4_MA_N.Q"
1985Q1,1150,170,606,82,243,,7,100,143,,
1985Q2,1658,267,892,139,305,,10,129,175,,
1985Q3,1785,215,972,166,381,,12,166,215,,
1985Q4,3296,506,1721,389,558,,16,208,350,,
1986Q1,1542,213,699,150,395,,4,200,194,,
1986Q2,2164,288,1037,249,488,,15,237,252,,
1986Q3,2298,213,1183,283,517,,17,248,269,,
1986Q4,3621,401,1818,535,714,,20,303,411,,
1987Q1,1603,105,643,240,528,,13,310,218,,
1987Q2,1965,116,893,309,569,,13,306,263,,
1987Q3,1970,99,827,358,572,,15,310,263,,
1987Q4,2967,123,1367,513,742,,24,339,402,,
1988Q1,1585,29,497,278,608,,10,370,238,,
1988Q2,2285,41,941,486,651,,14,398,254,,
1988Q3,1897,34,766,358,632,,10,348,284,,
1988Q4,2565,55,1118,522,747,,16,356,391,,
1989Q1,1493,11,458,337,612,,10,348,264,,
1989Q2,1834,24,653,391,674,,13,374,300,,
1989Q3,1929,20,728,463,638,,13,350,288,,
1989Q4,2926,43,1143,676,885,,23,442,443,,
1990Q1,1789,7,568,381,706,,12,409,297,,
1990Q2,2239,23,806,609,745,,15,443,302,,
1990Q3,2466,20,920,683,765,,12,420,345,,
1990Q4,3589,26,1361,1030,1056,,24,601,455,,
1991Q1,2395,6,767,533,996,99,22,630,366,407,3
1991Q2,2750,15,930,716,992,115,18,626,365,580,8
1991Q3,2691,26,868,659,1003,134,18,646,357,498,5
1991Q4,3878,60,1444,1056,1122,181,29,675,447,859,12
1992Q1,2098,12,597,463,922,88,15,636,286,383,5
1992Q2,2170,26,653,579,844,110,14,588,256,456,11
1992Q3,2262,22,772,620,771,102,14,529,243,504,14
1992Q4,2783,24,823,893,992,164,15,698,294,727,9
1993Q1,1368,6,307,340,689,83,8,529,160,254,2
1993Q2,1568,16,333,469,714,102,5,557,157,359,1
1993Q3,1336,6,246,414,653,90,10,475,178,322,1
1993Q4,1796,24,484,510,725,115,6,495,230,387,7
1994Q1,877,6,91,164,591,50,5,472,120,112,-1
1994Q2,1067,10,218,228,592,64,4,462,130,158,0
1994Q3,1013,12,133,220,638,54,4,500,138,159,2
1994Q4,1322,19,284,317,678,98,4,462,215,214,5
1995Q1,865,3,50,129,658,44,3,497,161,84,-0
1995Q2,1347,13,159,345,803,61,6,619,184,285,1
1995Q3,1292,18,143,178,930,62,6,717,213,110,6
1995Q4,1853,35,320,248,1215,76,9,895,320,168,4
1996Q1,1370,18,122,72,1124,42,7,875,249,30,-0
1996Q2,1507,27,203,118,1135,48,13,888,248,69,0
1996Q3,1559,27,192,102,1211,52,15,933,278,48,2
1996Q4,2038,37,346,169,1463,64,13,1104,359,102,5
1997Q1,1546,8,133,77,1299,46,13,1008,292,31,0
