"Series Description","Asset quality measures; Delinquencies on all loans and leases; Banks not among the 100 largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; To finance agricultural production; Banks not among the 100 largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; Commercial and industrial; Banks not among the 100 largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; Secured by real estate; Banks not among the 100 largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; To consumers; Banks not among the 100 largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; Secured by real estate; Single-family residential mortgages; Booked in domestic offices; Banks not among the 100 largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; Lease financing receivables; Banks not among the 100 largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; To consumers; Credit cards; Banks not among the 100 largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; To consumers; Other; Banks not among the 100 largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; Secured by real estate; Commercial real estate loans (excluding farmland); Booked in domestic offices (End of period); Banks not among the 100 largest in size (by assets)","Asset quality measures; Delinquencies on all loans and leases; Secured by real estate; Farmland; Booked in domestic offices; Banks not among the 100 largest in size (by assets) (End of period)"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","CHGDEL/CHGDEL/STFBQD_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDF_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDB_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDS_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDC_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDSS_XEOP_XDO_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDR_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDCC_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDCO_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDSX_XEOP_XDO_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDSF_XEOP_XDO_XS3A4_MA_N.Q"
"Time Period","STFBQD_XEOP_XS3A4_MA_N.Q","STFBQDF_XEOP_XS3A4_MA_N.Q","STFBQDB_XEOP_XS3A4_MA_N.Q","STFBQDS_XEOP_XS3A4_MA_N.Q","STFBQDC_XEOP_XS3A4_MA_N.Q","STFBQDSS_XEOP_XDO_XS3A4_MA_N.Q","STFBQDR_XEOP_XS3A4_MA_N.Q","STFBQDCC_XEOP_XS3A4_MA_N.Q","STFBQDCO_XEOP_XS3A4_MA_N.Q","STFBQDSX_XEOP_XDO_XS3A4_MA_N.Q","STFBQDSF_XEOP_XDO_XS3A4_MA_N.Q"
1985Q1,30317,,,,,,,,,,
1985Q2,33185,,,,,,,,,,
1985Q3,35119,,,,,,,,,,
1985Q4,36678,,,,,,,,,,
1986Q1,39951,,,,,,,,,,
1986Q2,36533,,,,,,,,,,
1986Q3,36833,,,,,,,,,,
1986Q4,37180,,,,,,,,,,
1987Q1,41051,2369,15633,15584,5744,,250,,,,
1987Q2,37329,1808,14003,14337,5442,,204,,,,
1987Q3,37825,1553,13700,14809,5898,,203,,,,
1987Q4,37831,1364,12772,15431,6392,,207,,,,
1988Q1,39965,1465,13674,17069,5971,,169,,,,
1988Q2,36885,1171,12727,15460,5785,,189,,,,
1988Q3,36236,1060,12502,14975,5982,,219,,,,
1988Q4,36238,975,11735,15624,6341,,188,,,,
1989Q1,39093,1153,13029,17182,6034,,201,,,,
1989Q2,37190,931,12290,16481,5987,,190,,,,
1989Q3,40062,851,12749,18044,6747,,211,,,,
1989Q4,40250,830,12177,18411,7285,,226,,,,
1990Q1,43164,1083,13645,20290,6580,,214,,,,
1990Q2,40507,792,12948,18995,6471,,208,,,,
1990Q3,45137,747,14129,21647,7292,,252,,,,
1990Q4,48850,788,14773,23644,8254,,255,,,,
1991Q1,51489,1044,15281,25962,7831,7760,283,2910,4935,17430,670
1991Q2,49259,844,14395,24881,7635,7562,245,2855,4810,16673,608
1991Q3,48798,826,13932,24816,7742,7878,244,3103,4665,16253,600
1991Q4,47297,852,12447,24402,7976,8189,242,3209,4790,15520,625
1992Q1,46197,1205,12663,24446,6319,7957,232,2364,3970,15705,752
1992Q2,40507,924,11041,21366,5835,7124,186,2192,3662,13596,636
1992Q3,39687,815,10426,21083,6080,7042,186,2499,3596,13479,559
1992Q4,35750,785,9040,18968,6034,6974,172,2350,3690,11406,576
1993Q1,35996,1057,9413,19258,5380,6872,147,2166,3225,11674,667
1993Q2,33210,761,8548,17651,5410,6272,137,2203,3223,10762,573
1993Q3,32267,692,7730,17461,5562,6465,124,2153,3428,10418,512
1993Q4,29525,679,6710,15973,5484,6293,117,2167,3336,9147,492
1994Q1,30441,1008,7126,16584,4941,6428,142,2086,2873,9526,602
1994Q2,26943,735,6345,14020,5196,5630,94,2137,3089,7888,482
1994Q3,26520,666,5830,13513,5716,5764,88,2439,3296,7298,441
1994Q4,25761,674,5340,13195,5942,6128,126,2382,3589,6608,448
1995Q1,27769,1005,6071,14153,5844,6253,91,2437,3445,7312,580
