"Series Description","Delinquency rate on all loans; Banks not among the 100 largest in size (by assets) (Seasonally adjusted)","Delinquency rate on loans to finance agricultural production; Banks not among the 100 largest in size (by assets) (Seasonally adjusted)","Delinquency rate on business loans; Banks not among the 100 largest in size (by assets) (Seasonally adjusted)","Delinquency rate on loans secured by real estate; Banks not among the 100 largest in size (by assets) (Seasonally adjusted)","Delinquency rate on consumer loans; Banks not among the 100 largest in size (by assets) (Seasonally adjusted)","Delinquency rate on single-family residential mortgages, booked in domestic offices; Banks not among the 100 largest in size (by assets) (Seasonally adjusted)","Delinquency rate on lease financing receivables; Banks not among the 100 largest in size (by assets) (Seasonally adjusted)","Delinquency rate on credit card loans; Banks not among the 100 largest in size (by assets) (Seasonally adjusted)","Delinquency rate on other consumer loans; Banks not among the 100 largest in size (by assets) (Seasonally adjusted)","Delinquency rate on commercial real estate loans (excluding farmland), booked in domestic offices; Banks not among the 100 largest in size (by assets) (Seasonally adjusted)","Delinquency rate on farmland loans, booked in domestic offices; Banks not among the 100 largest in size (by assets) (Seasonally adjusted)","Delinquency rate on all loans; Banks not among the 100 largest in size (by assets)","Delinquency rate on loans to finance agricultural production; Banks not among the 100 largest in size (by assets)","Delinquency rate on business loans; Banks not among the 100 largest in size (by assets)","Delinquency rate on loans secured by real estate; Banks not among the 100 largest in size (by assets)","Delinquency rate on consumer loans; Banks not among the 100 largest in size (by assets)","Delinquency rate on single-family residential mortgages, booked in domestic offices; Banks not among the 100 largest in size (by assets)","Delinquency rate on lease financing receivables; Banks not among the 100 largest in size (by assets)","Delinquency rate on credit card loans; Banks not among the 100 largest in size (by assets)","Delinquency rate on other consumer loans; Banks not among the 100 largest in size (by assets)","Delinquency rate on commercial real estate loans (excluding farmland), booked in domestic offices; Banks not among the 100 largest in size (by assets)","Delinquency rate on farmland loans, booked in domestic offices; Banks not among the 100 largest in size (by assets)"
"Unit:","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage"
"Multiplier:","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Currency:","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unique Identifier: ","CHGDEL/CHGDEL/STFBQD%STFBAIL_XEOP_XS3A4_MA.Q","CHGDEL/CHGDEL/STFBQDF%STFBAILF_XEOP_XS3A4_MA.Q","CHGDEL/CHGDEL/STFBQDB%STFBAILB_XEOP_XS3A4_MA.Q","CHGDEL/CHGDEL/STFBQDS%STFBAILS_XEOP_XS3A4_MA.Q","CHGDEL/CHGDEL/STFBQDC%STFBAILC_XEOP_XS3A4_MA.Q","CHGDEL/CHGDEL/STFBQDSS%STFBAILSS_XEOP_XDO_XS3A4_MA.Q","CHGDEL/CHGDEL/STFBQDR%STFBAILR_XEOP_XS3A4_MA.Q","CHGDEL/CHGDEL/STFBQDCC%STFBAILCC_XEOP_XS3A4_MA.Q","CHGDEL/CHGDEL/STFBQDCO%STFBAILCO_XEOP_XS3A4_MA.Q","CHGDEL/CHGDEL/STFBQDSX%STFBAILSX_XEOP_XDO_XS3A4_MA.Q","CHGDEL/CHGDEL/STFBQDSF%STFBAILSF_XEOP_XDO_XS3A4_MA.Q","CHGDEL/CHGDEL/STFBQD%STFBAIL_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDF%STFBAILF_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDB%STFBAILB_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDS%STFBAILS_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDC%STFBAILC_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDSS%STFBAILSS_XEOP_XDO_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDR%STFBAILR_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDCC%STFBAILCC_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDCO%STFBAILCO_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDSX%STFBAILSX_XEOP_XDO_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBQDSF%STFBAILSF_XEOP_XDO_XS3A4_MA_N.Q"
"Time Period","STFBQD%STFBAIL_XEOP_XS3A4_MA.Q","STFBQDF%STFBAILF_XEOP_XS3A4_MA.Q","STFBQDB%STFBAILB_XEOP_XS3A4_MA.Q","STFBQDS%STFBAILS_XEOP_XS3A4_MA.Q","STFBQDC%STFBAILC_XEOP_XS3A4_MA.Q","STFBQDSS%STFBAILSS_XEOP_XDO_XS3A4_MA.Q","STFBQDR%STFBAILR_XEOP_XS3A4_MA.Q","STFBQDCC%STFBAILCC_XEOP_XS3A4_MA.Q","STFBQDCO%STFBAILCO_XEOP_XS3A4_MA.Q","STFBQDSX%STFBAILSX_XEOP_XDO_XS3A4_MA.Q","STFBQDSF%STFBAILSF_XEOP_XDO_XS3A4_MA.Q","STFBQD%STFBAIL_XEOP_XS3A4_MA_N.Q","STFBQDF%STFBAILF_XEOP_XS3A4_MA_N.Q","STFBQDB%STFBAILB_XEOP_XS3A4_MA_N.Q","STFBQDS%STFBAILS_XEOP_XS3A4_MA_N.Q","STFBQDC%STFBAILC_XEOP_XS3A4_MA_N.Q","STFBQDSS%STFBAILSS_XEOP_XDO_XS3A4_MA_N.Q","STFBQDR%STFBAILR_XEOP_XS3A4_MA_N.Q","STFBQDCC%STFBAILCC_XEOP_XS3A4_MA_N.Q","STFBQDCO%STFBAILCO_XEOP_XS3A4_MA_N.Q","STFBQDSX%STFBAILSX_XEOP_XDO_XS3A4_MA_N.Q","STFBQDSF%STFBAILSF_XEOP_XDO_XS3A4_MA_N.Q"
1985Q1,4.08,,,,,,,,,,,4.33,,,,,,,,,,
1985Q2,4.73,,,,,,,,,,,4.60,,,,,,,,,,
1985Q3,4.81,,,,,,,,,,,4.74,,,,,,,,,,
1985Q4,4.91,,,,,,,,,,,4.80,,,,,,,,,,
1986Q1,4.91,,,,,,,,,,,5.22,,,,,,,,,,
