"Series Description","Asset quality measures; Delinquencies on all loans and leases; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; To finance agricultural production; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; Commercial and industrial; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; Secured by real estate; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; To consumers; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; Secured by real estate; Single-family residential mortgages; Booked in domestic offices; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; Lease financing receivables; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; To consumers; Credit cards; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; To consumers; Other; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Asset quality measures; Delinquencies on all loans and leases; Secured by real estate; Commercial real estate loans (excluding farmland); Booked in domestic offices (End of period); Banks ranked 1st to 100th largest in size (by assets)","Asset quality measures; Delinquencies on all loans and leases; Secured by real estate; Farmland; Booked in domestic offices; Banks ranked 1st to 100th largest in size (by assets) (End of period)"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","CHGDEL/CHGDEL/STFBQD_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQDF_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQDB_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQDS_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQDC_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQDSS_XEOP_XDO_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQDR_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQDCC_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQDCO_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQDSX_XEOP_XDO_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBQDSF_XEOP_XDO_XS1A2_MA_N.Q"
"Time Period","STFBQD_XEOP_XS1A2_MA_N.Q","STFBQDF_XEOP_XS1A2_MA_N.Q","STFBQDB_XEOP_XS1A2_MA_N.Q","STFBQDS_XEOP_XS1A2_MA_N.Q","STFBQDC_XEOP_XS1A2_MA_N.Q","STFBQDSS_XEOP_XDO_XS1A2_MA_N.Q","STFBQDR_XEOP_XS1A2_MA_N.Q","STFBQDCC_XEOP_XS1A2_MA_N.Q","STFBQDCO_XEOP_XS1A2_MA_N.Q","STFBQDSX_XEOP_XDO_XS1A2_MA_N.Q","STFBQDSF_XEOP_XDO_XS1A2_MA_N.Q"
1985Q1,42431,,,,,,,,,,
1985Q2,41271,,,,,,,,,,
1985Q3,41904,,,,,,,,,,
1985Q4,40238,,,,,,,,,,
1986Q1,42829,,,,,,,,,,
1986Q2,40522,,,,,,,,,,
1986Q3,42026,,,,,,,,,,
1986Q4,43594,,,,,,,,,,
1987Q1,60892,770,25121,12192,5320,,473,,,,
1987Q2,56629,702,24563,10970,4906,,399,,,,
1987Q3,56580,605,23516,11934,5226,,427,,,,
1987Q4,58344,654,22868,13738,5547,,366,,,,
1988Q1,58674,681,22261,14371,5550,,416,,,,
1988Q2,55100,563,19416,13893,5284,,339,,,,
1988Q3,58707,537,19647,15550,5803,,334,,,,
1988Q4,53217,478,17418,14103,6476,,320,,,,
1989Q1,60651,488,19621,17554,6718,,391,,,,
1989Q2,58880,490,18873,16185,6693,,397,,,,
1989Q3,60570,400,19350,17980,6986,,466,,,,
1989Q4,60674,370,18754,20440,7471,,495,,,,
1990Q1,64103,425,19495,23233,7411,,501,,,,
1990Q2,62016,398,19745,24575,6992,,440,,,,
1990Q3,66191,356,19757,27186,7836,,561,,,,
1990Q4,76585,307,22606,34918,8352,,656,,,,
1991Q1,81085,377,23917,38039,8078,5144,761,3928,4150,30657,181
1991Q2,75381,369,22736,35281,7935,5292,683,4067,3869,27904,147
1991Q3,72815,273,21577,34917,8289,5498,667,3999,4290,26921,141
1991Q4,71566,317,20234,35191,8547,5962,609,4162,4385,26632,142
1992Q1,70686,317,19946,35154,8529,6174,563,4511,4019,26623,173
1992Q2,66690,320,18542,32851,8097,5957,549,4237,3860,24390,154
1992Q3,64958,363,17699,32159,8043,6022,583,4054,3989,23730,152
1992Q4,62213,268,15738,31430,8008,6233,573,4036,3973,23157,141
1993Q1,58450,338,14729,30035,7852,6164,457,3901,3950,21677,169
1993Q2,51367,259,12654,26522,7268,6178,408,3715,3553,18292,151
1993Q3,47592,220,11188,24469,7377,6296,368,3737,3639,16305,141
1993Q4,42706,197,9232,22568,7348,6253,335,3866,3482,14641,129
1994Q1,40370,205,8652,21383,7132,6210,266,3386,3746,13639,109
1994Q2,34853,193,7128,19014,6399,5841,304,2940,3459,11531,84
1994Q3,33172,169,6794,17575,6833,5770,285,3177,3656,10272,90
1994Q4,33195,160,7126,16505,7763,5788,275,3841,3922,9334,91
