"Series Description","Total Assets; Interest-earning; All loans and leases, gross; Banks not among the 100 largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; To finance agricultural production, other farm loans; Banks not among the 100 largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Commercial and industrial; Banks not among the 100 largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Secured by real estate; Banks not among the 100 largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Consumer loans; Banks not among the 100 largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Secured by real estate; Single-family (1-4 family) residential mortgages; Booked in domestic offices; Banks not among the 100 largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Lease financing receivables; Banks not among the 100 largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Consumer loans; Credit cards; Banks not among the 100 largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Consumer loans; Other; Banks not among the 100 largest in size (by assets) (End of period)","Total assets; Interest-earning; All loans and leases, gross; Secured by real estate; Commercial real estate loans (excluding farmland); Booked in domestic offices; (End of period); Banks not among the 100 largest in size (by assets)","Total Assets; Interest-earning; All loans and leases, gross; Secured by real estate; Farmland; Booked in domestic offices; Banks not among the 100 largest in size (by assets) (End of period)"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","CHGDEL/CHGDEL/STFBAIL_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBAILF_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBAILB_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBAILS_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBAILC_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBAILSS_XEOP_XDO_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBAILR_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBAILCC_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBAILCO_XEOP_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBAILSX_XEOP_XDO_XS3A4_MA_N.Q","CHGDEL/CHGDEL/STFBAILSF_XEOP_XDO_XS3A4_MA_N.Q"
"Time Period","STFBAIL_XEOP_XS3A4_MA_N.Q","STFBAILF_XEOP_XS3A4_MA_N.Q","STFBAILB_XEOP_XS3A4_MA_N.Q","STFBAILS_XEOP_XS3A4_MA_N.Q","STFBAILC_XEOP_XS3A4_MA_N.Q","STFBAILSS_XEOP_XDO_XS3A4_MA_N.Q","STFBAILR_XEOP_XS3A4_MA_N.Q","STFBAILCC_XEOP_XS3A4_MA_N.Q","STFBAILCO_XEOP_XS3A4_MA_N.Q","STFBAILSX_XEOP_XDO_XS3A4_MA_N.Q","STFBAILSF_XEOP_XDO_XS3A4_MA_N.Q"
1985Q1,699578,32376,206775,241090,165921,119584,5006,23365,142556,112158,9334
1985Q2,721163,33815,211965,249428,172048,123076,5244,24497,147551,116718,9621
1985Q3,740278,33351,212267,257951,180561,126956,5332,29249,151312,120958,10006
1985Q4,763750,29983,217930,267140,185854,130920,5953,33051,152803,125936,10269
1986Q1,765605,28874,219722,274515,180845,132781,6113,30337,150509,131007,10715
1986Q2,778685,29308,221932,281504,183846,134669,6369,31662,152184,135795,10968
1986Q3,784436,28840,216832,290262,187749,138671,6277,34800,152949,140280,11257
1986Q4,819033,26272,227443,307475,194139,145080,6657,39072,155068,150747,11588
1987Q1,818169,24507,224551,317161,190262,150224,6634,37782,152480,154847,12039
1987Q2,835398,25851,224901,330351,193231,157381,6658,39169,154061,160305,12593
1987Q3,853086,26085,222536,344554,200434,164524,6903,43761,156673,167058,12896
1987Q4,871148,24533,226437,355389,204802,171249,7293,48678,156124,170844,13154
1988Q1,878358,23930,226794,364253,205574,175060,7400,50061,155513,175692,13323
1988Q2,903496,25770,232794,375193,212157,181528,7978,52305,159851,179711,13803
1988Q3,912504,26321,232749,384865,211408,187760,8121,48007,163402,183003,13952
1988Q4,929994,25150,234993,394882,215808,191588,8326,52311,163498,189241,13977
1989Q1,926444,24033,235675,403414,208290,195812,8331,45999,162292,193357,14196
1989Q2,951318,26070,240332,414634,214583,201726,8484,49099,165484,198191,14578
1989Q3,961750,26949,238439,423070,218516,206810,8674,50915,167601,201392,14664
1989Q4,975646,26187,241064,431281,221643,211249,8916,54988,166655,205055,14768
1990Q1,968847,25036,236941,436948,218334,214125,8884,53004,165329,207568,15002
1990Q2,985208,27095,236626,450756,219270,224907,9017,53112,166158,210192,15342
1990Q3,997021,28336,234375,459605,224928,230158,9205,57116,167812,213716,15474
1990Q4,998496,27910,232021,457207,225427,230136,9215,62264,163163,211316,15477
1991Q1,986706,27183,225637,461789,220389,232802,9322,62526,157864,213023,15717
1991Q2,991149,29566,221011,474451,217790,241508,9731,60191,157599,216389,16256
1991Q3,978167,30629,210646,474923,216637,242965,9312,62803,153834,214775,16533
1991Q4,977794,29564,206661,477325,218388,246300,9221,68851,149538,213798,16566
1992Q1,964694,28374,204079,482086,202947,250972,8861,55473,147474,213557,17027
1992Q2,962259,30640,200304,483600,204695,252322,8833,57874,146822,213172,17605
