"Series Description","Total Assets; Interest-earning; All loans and leases, gross; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; To finance agricultural production, other farm loans; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Commercial and industrial; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Secured by real estate; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Consumer loans; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Secured by real estate; Single-family (1-4 family) residential mortgages; Booked in domestic offices; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Lease financing receivables; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Consumer loans; Credit cards; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Total Assets; Interest-earning; All loans and leases, gross; Consumer loans; Other; Banks ranked 1st to 100th largest in size (by assets) (End of period)","Total assets; Interest-earning; All loans and leases, gross; Secured by real estate; Commercial real estate loans (excluding farmland); Booked in domestic offices; (End of period); Banks ranked 1st to 100th largest in size (by assets)","Total Assets; Interest-earning; All loans and leases, gross; Secured by real estate; Farmland; Booked in domestic offices; Banks ranked 1st to 100th largest in size (by assets) (End of period)"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","CHGDEL/CHGDEL/STFBAIL_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILF_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILB_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILS_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILC_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILSS_XEOP_XDO_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILR_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILCC_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILCO_XEOP_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILSX_XEOP_XDO_XS1A2_MA_N.Q","CHGDEL/CHGDEL/STFBAILSF_XEOP_XDO_XS1A2_MA_N.Q"
"Time Period","STFBAIL_XEOP_XS1A2_MA_N.Q","STFBAILF_XEOP_XS1A2_MA_N.Q","STFBAILB_XEOP_XS1A2_MA_N.Q","STFBAILS_XEOP_XS1A2_MA_N.Q","STFBAILC_XEOP_XS1A2_MA_N.Q","STFBAILSS_XEOP_XDO_XS1A2_MA_N.Q","STFBAILR_XEOP_XS1A2_MA_N.Q","STFBAILCC_XEOP_XS1A2_MA_N.Q","STFBAILCO_XEOP_XS1A2_MA_N.Q","STFBAILSX_XEOP_XDO_XS1A2_MA_N.Q","STFBAILSF_XEOP_XDO_XS1A2_MA_N.Q"
1985Q1,814654,6577,360732,152609,105045,63220,15566,39989,65056,77291,961
1985Q2,827956,6645,357661,157317,111336,63981,16199,42432,68903,80847,975
1985Q3,845847,6363,361017,164565,114936,65836,16754,41677,73259,85181,1015
1985Q4,862342,6102,358194,170212,121298,66935,18352,45153,76145,88952,1073
1986Q1,869562,5460,358826,175523,125271,67429,18639,48300,76972,92450,1067
1986Q2,886316,5461,358049,184125,130983,70470,18614,50173,80810,97061,1257
1986Q3,890891,5321,353452,194489,134697,73631,19534,50723,83975,103394,1176
1986Q4,930445,5283,371395,206172,138596,76364,20839,52381,86215,111504,1089
1987Q1,914909,4655,358662,214112,135663,77658,21149,50490,85173,118558,1133
1987Q2,926403,4930,355692,224981,136715,82682,21641,50764,85951,123722,1208
1987Q3,938407,4930,355643,233231,138409,86071,21922,51055,87354,127349,1221
1987Q4,951216,4850,360825,243398,143257,91133,23793,53837,89420,133629,1257
1988Q1,963485,4627,367285,249946,142100,92257,23825,52181,89919,135385,1292
1988Q2,972307,4799,364572,261381,142846,99313,24331,51041,91804,139550,1367
1988Q3,982049,4761,360026,271017,152904,104452,25080,59773,93131,143972,1434
1988Q4,994359,4995,363060,278455,158850,109263,26071,64476,94374,145603,1496
1989Q1,1012174,4610,366230,289684,159838,113273,25829,65534,94304,151782,1659
1989Q2,1029272,4880,369468,302482,161804,121103,25974,66247,95557,156383,1741
1989Q3,1054140,4768,375662,317858,166648,130142,27355,68940,97708,163117,1838
1989Q4,1072769,4841,374737,327415,175953,138119,28279,75930,100023,164830,1884
1990Q1,1080104,4612,383259,337860,169210,142890,27830,69885,99325,169782,1785
1990Q2,1087010,5118,381738,350646,169544,151191,27955,69851,99693,172551,1794
1990Q3,1098374,5198,383444,357156,171786,158782,28476,70215,101571,169616,1836
1990Q4,1098903,5313,379604,368212,173652,168091,28800,70594,103058,172029,1784
1991Q1,1092689,5064,377324,372340,166038,172755,27678,66140,99898,171855,1798
1991Q2,1073903,5212,364751,370808,166191,176550,27094,69273,96917,168064,1788
1991Q3,1073688,5211,358883,369485,166751,178423,26874,67911,98840,164390,1793
1991Q4,1065449,5309,349386,370728,170645,182943,27403,69684,100961,160599,1882
1992Q1,1062297,4860,344367,369324,172776,186226,27073,73664,99112,157468,1943
